Date,AAPL,AMZN,BLK,GOOG,MSFT
2006-12-08,11.343378999999999,38.459998999999996,113.56678799999999,240.490845,22.725395000000002
2006-12-07,11.186579,38.119999,114.0839,239.76058999999998,22.300261
2006-12-06,11.545157000000001,38.900002,113.52048500000001,242.77597000000003,22.408476
2006-12-05,11.730229,38.98,113.21948200000001,241.926498,22.516697
2006-12-04,11.710953,39.099998,112.4786,240.858444,22.671289
2006-12-01,11.736657000000001,39.41,109.823647,238.846527,22.508963
2006-11-30,11.780353999999999,40.34,110.649452,240.83857700000002,22.694489
2006-11-29,11.798347,40.630001,111.274628,240.759094,22.856802
2006-11-28,11.799632,40.919998,111.744041,243.168427,22.717672
2006-11-27,11.507885,40.849998,113.106117,240.808777,22.787237
2006-11-24,11.776498,42.41,115.23770900000001,250.86834700000003,23.003664
2006-11-22,11.606848,42.959998999999996,115.5532,252.363617,23.127342000000002
2006-11-21,11.387075999999999,42.540001000000004,114.737549,253.178314,23.127342000000002
2006-11-20,11.113322,42.439999,114.314247,245.92549100000002,23.104155
2006-11-17,11.033638999999999,42.549999,113.252296,247.78340099999997,22.725395000000002
2006-11-16,11.002794999999999,42.84,111.874847,246.347748,22.779505
2006-11-15,10.802297,42.599998,110.812859,244.37557999999999,22.508963
2006-11-14,10.924394,41.509997999999996,108.9814,243.069077,22.593992
2006-11-13,10.840854,39.990002000000004,108.9814,238.96078500000002,22.609451
2006-11-10,10.682772,39.259997999999996,109.089119,235.24496499999998,22.524708
2006-11-09,10.711047,38.84,110.220329,234.787933,22.540123
2006-11-08,10.596662,39.470001,111.15915700000001,235.965271,22.324427
2006-11-07,10.347329,38.77,112.205734,234.75811800000002,22.301319
2006-11-06,10.244513000000001,38.209998999999996,111.020683,236.933975,22.216583
2006-11-03,10.062012,37.459998999999996,111.851776,234.37561000000002,22.13184
2006-11-02,10.150689999999999,37.450001,113.098404,233.43672200000003,22.162653
2006-11-01,10.173827000000001,37.560001,114.69904299999999,232.23950200000002,22.193466
2006-10-31,10.420588,38.09,116.07651499999999,236.655777,22.116436
2006-10-30,10.33576,38.150002,119.277763,236.74519300000003,21.977774
2006-10-27,10.334475999999999,38.240002000000004,115.04531100000001,236.064621,21.831408
2006-10-26,10.563248,38.299999,116.94603000000001,240.98263500000002,21.839115
2006-10-25,10.4977,37.68,113.129143,241.727798,21.808301999999998
2006-10-24,10.416731,33.630001,113.12143700000001,235.12573199999997,21.785191
2006-10-23,10.469425,32.880001,114.083405,238.836594,21.916149
2006-10-20,10.275355000000001,32.57,112.05181100000001,228.349808,21.900743
2006-10-19,10.151978999999999,32.540001000000004,113.00606499999999,211.653397,21.792892000000002
2006-10-18,9.578764999999999,32.310001,114.43741599999998,208.300201,21.970072000000002
2006-10-17,9.54792,32.470001,114.23728200000001,208.96090700000002,21.90844
2006-10-16,9.69058,32.599998,114.26808899999999,209.512329,21.916149
2006-10-13,9.641742,33.32,115.04531100000001,212.269394,21.854513
2006-10-12,9.672589,33.549999,116.876801,212.33894300000003,21.738966
2006-10-11,9.411686999999999,32.91,117.36161000000001,211.871979,21.215142999999998
2006-10-10,9.486228,32.619999,118.277374,211.94648700000002,21.330692000000003
2006-10-09,9.591617999999999,33.380001,115.44544199999999,213.11390699999998,21.353792000000002
2006-10-06,9.538924,32.59,114.67595700000001,208.891357,21.469352999999998
2006-10-05,9.617326,33.32,114.737549,204.574448,21.507868
2006-10-04,9.68801,32.759997999999996,113.467758,206.506866,21.523273
2006-10-03,9.520932,31.700001,111.443909,200.714539,21.084181
2006-10-02,9.62118,30.870001000000002,111.35157,199.422943,21.076475
2006-09-29,9.893647,32.119999,114.660545,199.65145900000002,21.068773
2006-09-28,9.897501,31.84,115.35311100000001,200.48603799999998,21.107294
2006-09-27,9.820386,32.330002,114.89910900000001,200.15815700000002,21.138109
2006-09-26,9.974614,32.5,114.61438799999999,202.120407,20.953224
2006-09-25,9.735563,31.790001,113.04454799999999,200.68473799999998,20.760635
2006-09-22,9.382127,30.84,111.12073500000001,200.585388,20.537241
2006-09-21,9.594189,30.219998999999998,111.174568,202.110474,20.722116
2006-09-20,9.672589,32.119999,111.636276,197.217285,20.937819
2006-09-19,9.481091000000001,31.58,111.70554399999999,200.600296,20.691299
2006-09-18,9.496513,32.080002,112.767517,206.005142,20.637388
2006-09-15,9.523502,32.52,113.89099099999999,203.615677,20.683605
2006-09-14,9.5325,31.65,112.27500900000001,200.68473799999998,20.283028
2006-09-13,9.536354,31.67,110.728249,201.971375,20.013412
2006-09-12,9.334575,31.719998999999998,104.056351,194.683777,19.974894
2006-09-11,9.317867,30.790001,101.50921600000001,190.804001,19.959484
2006-09-08,9.320438000000001,30.51,102.35566700000001,187.704163,19.720675
2006-09-07,9.356423,29.73,101.663139,188.022095,19.589722000000002
2006-09-06,9.000416,30.799999,102.532715,188.84176599999998,19.728379999999998
2006-09-05,9.186776,32.23,102.440353,190.938126,19.728379999999998
2006-09-01,8.788355000000001,31.76,102.486526,188.076736,19.905565
2006-08-31,8.720234,30.83,100.154854,188.041962,19.797718
2006-08-30,8.605851,30.67,99.554573,189.144791,19.874744
2006-08-29,8.544162,29.52,97.529617,188.25061000000002,19.905565
2006-08-28,8.608424000000001,28.91,99.523911,189.244156,19.990301000000002
2006-08-25,8.835907,28.030001000000002,98.488388,185.423996,19.913263
2006-08-24,8.715098,27.969998999999998,99.72332,185.657471,19.828526999999998
2006-08-23,8.650836,28.139999,101.633278,185.508453,19.774608999999998
2006-08-22,8.690676,28.370001000000002,101.594948,187.922745,19.736086
2006-08-21,8.554442,28.129998999999998,100.942947,187.430939,20.12126
2006-08-18,8.727949,29.120001000000002,102.05519100000001,190.44136,19.867046
2006-08-17,8.686819,29.09,101.410866,191.653473,19.027374
